i: 0, k: 926, m: 1
Successful: CL/CD=30.3336, R=0.04652212839573622
Successful: CL/CD=25.0787, R=0.05297160521149635
Successful: CL/CD=15.5330, R=0.0786663955077529
Successful: CL/CD=24.8847, R=0.05745874531567097
Successful: CL/CD=22.8868, R=0.058348482474684715
Successful: CL/CD=19.9950, R=0.05732202436774969
Successful: CL/CD=26.7030, R=0.04837778536602855
Successful: CL/CD=24.7649, R=0.05358708091080189
Successful: CL/CD=35.6123, R=0.04765312699601054
Successful: CL/CD=24.0282, R=0.11777457036077976
Successful: CL/CD=30.5991, R=0.046506323385983706
Successful: CL/CD=34.6629, R=0.04838468739762902
Successful: CL/CD=29.0779, R=0.05066077318042517
Successful: CL/CD=29.9943, R=0.04730351688340306
Successful: CL/CD=35.8384, R=0.043107136618345976
Successful: CL/CD=22.8160, R=0.05356781743466854
Successful: CL/CD=20.4391, R=0.06007904512807727
Successful: CL/CD=22.7769, R=0.055093024391680956
Successful: CL/CD=13.1815, R=0.07299538422375917
Successful: CL/CD=17.7075, R=0.06769209308549762
Successful: CL/CD=22.9560, R=0.05557647021487355
Successful: CL/CD=29.9895, R=0.07144632190465927
Successful: CL/CD=31.4200, R=0.053094704169780016
Successful: CL/CD=37.7463, R=0.051505375653505325
Successful: CL/CD=36.2517, R=0.04319908283650875
Successful: CL/CD=20.5717, R=0.05665763048455119
Successful: CL/CD=36.6708, R=0.04662500321865082
True 0.0035742041654884815
0.004918345715850592
Successful: CL/CD=25.5833, R=0.04999892367050052
Successful: CL/CD=38.8443, R=0.040943257976323366
Successful: CL/CD=30.1903, R=0.05012513604015112
Successful: CL/CD=25.3936, R=0.05198585242033005
Successful: CL/CD=25.3849, R=0.050072863698005676
Successful: CL/CD=36.1753, R=0.04458775604143739
Successful: CL/CD=34.8031, R=0.04293674696236849
Successful: CL/CD=28.3046, R=0.047778981272131205
Successful: CL/CD=12.8145, R=nan
Successful: CL/CD=26.2219, R=0.07171176839619875
Successful: CL/CD=37.8179, R=0.043568105436861515
Successful: CL/CD=23.2338, R=0.11980866082012653
Successful: CL/CD=27.6093, R=0.05662471288815141
True 0.0035133708734065294
0.005952406208962202
Successful: CL/CD=19.7329, R=0.0627018897794187
Successful: CL/CD=32.8585, R=0.04547696514055133
Successful: CL/CD=36.3548, R=0.052901665680110455
Successful: CL/CD=29.3067, R=0.07338328938931227
Successful: CL/CD=19.1193, R=nan
Successful: CL/CD=31.4976, R=0.05214862199500203
Successful: CL/CD=34.7829, R=0.04361845040693879
Successful: CL/CD=17.7510, R=nan
Successful: CL/CD=33.6577, R=0.048674176912754774
Successful: CL/CD=16.1341, R=0.13110492937266827
Successful: CL/CD=28.1667, R=0.054609864484518766
